text,sentiment,aspect,polarity
"Re: FOCUS-Online-Digital Ich fahre aus Überzeugung Bahn, selbst wenn es kein Mensch mehr tut :-)",neutral,Allgemein#Haupt:neutral,1
"Re: Tommy Chong ""Haha, """"Moin"""" :D (Y) Ich find's trotzdem bissen übertrieben. Zumindest das mit n Sommer oder Freitag. Scheiss auf Bahn warten. Die kommt schon irgendwann. xD""",negative,Zugfahrt#Pünktlichkeit:negative,-1
Kritik an Bahn-Politik: Mehdorn wettert wieder - n-tv.de NACHRICHTEN: n-tv.de NACHRICHTENKritik ... https://t.co/Lz77XH3jnn Business News,negative,Allgemein#Haupt:negative,-1
"@FreiburgerJungs komme gerade nachhause 68 km Rad Tour. Eigentlich wollte ich nur 10 km fahren. Bahn ""defekt"" VAG Streik ok . Bin bedient!",negative,Sonstige_Unregelmässigkeiten#Haupt:negative Allgemein#Haupt:negative,-1
RT @NDRnetzwelt: Jetzt offiziell von @warentest bestätigt: In der Bahn sind alle Mobilfunknetze sch...lecht. https://t.co/GRZl6co50l,negative,Connectivity#Telefonie_und_Handyempfang:negative,1
Über 5 Kilo Ton mitschleppen. Plötzlich scheint der weg zur Bahn sehr lang.,neutral,Allgemein#Haupt:neutral,0
Das grosse Geheimnis um die Kosten von Bus und Bahn #Kanton #Dietikon #ServicePublic https://t.co/3GE4c1rC9b https://t.co/jfIkMiWceY,neutral,Allgemein#Haupt:neutral,0
"S-Bahn S7, S8, S9 / Zug RE 70: Störung beendet (Stand: 07.05., 17.43 Uhr) https://t.co/MBfVcnBRDi",positive,Sonstige_Unregelmässigkeiten#Haupt:positive,-1
Hallo liebe S- Bahn. Du bist immer noch die falsche für mich… aber… Den Rest kennst du ja.,neutral,Allgemein#Haupt:neutral,-1
Re: oe24.at Alle Bahnhöfe Die in letzter Zeit renoviert wurden in Millionenhöhe hätte man sich sparen können - den JETZT KANN MAN MAX DAMIT PUNKTEN DAS DIESE NUN ZU DIE MODERNSTEN SLUMS UND VERBRECHER STÄDTEN SIND!!! Es wird IMMER SCHLIMMER ALLEINE ZUR ARBEIT UND NACH HAUSE ZU KOMMEN - VERREISEN MIT DER BAHN KOMMT SOWIESO NICHT MEHR IN FRAGE - außen sehe ich persönlich nicht ein EIN TIKET ZU BEZAHLEN wo andere NICHTS BEZAHLEN UND NOCH ALLE SITZPLÄTZE BESETZEN UND MAN NICHT MAL WEISS OB MAN NOCH UNBESCHADET IRGENDWO RAUS KOMMT aus diesen stinkenden überfüllten Zügen.... Genau das selbe Bild in allen UBahnen und vielen Stationen...... Die Touristen werden das SCHÖNSTE BILD MIT NACH HAUSE NEHMEN es ist zum kotzen wie alles nur mehr VERSUMPFT UND HERUNTER KOMMT.....,negative,Allgemein#Haupt:negative Zugfahrt#Haupt:negative Ticketkauf#Haupt:negative Atmosphäre#Geruch:negative Auslastung_und_Platzangebot#Haupt:negative,1
"Murrbahn: Folgende Fahrplanänderungen sind geplant Der Regionalexpress (RE) 19939 mit Abfahrt von Stuttgart Hauptbahnhof um 5.43 Uhr hält künftig um 6.23 Uhr in Murrhardt und endet um 6.40 Uhr in Gaildorf-West. In Gaildorf erfolgt ein Umstieg auf einen Anschluss-RE, der dort um 6.43 Uhr in Richtung A",negative,Sonstige_Unregelmässigkeiten#Haupt:negative,0
Re: Mannheim24 Fahr ich Bahn?,neutral,Allgemein#Haupt:neutral,0
-Article: Die Deutsche Bahn verspricht Reisenden d -Article: Die Deutsche Bahn verspricht Reisenden durch Investitionen in die Digitalisierung deutlich mehr Service http://nachrichtenzeit.de/bahn-chef-grube-verspricht-mehr-service-durch-digitalisierung/10144/?utm_source=dlvr.it&utm_medium=gplus,neutral,Allgemein#Haupt:neutral,1
"Ich saß gerade fast 2 Stunden in Bonn Hauptbahnhof fest. Erste Bahn hatte 'ne Störung, die zweite fiel auf, die dritte war überfüllt. Geilo.",negative,Sonstige_Unregelmässigkeiten#Haupt:negative Sonstige_Unregelmässigkeiten#Haupt:negative Auslastung_und_Platzangebot#Haupt:negative,-1
RT @pinokju: In 231 einfachen Schritten ein Ticket der Deutschen Bahn online buchen.,negative,Ticketkauf#Haupt:negative,1
Wg. Postraub verzögert sich die Fahrt nach Wladiwostok um einige Std. Wir bitten für den Ausfall der Heizung um Verständnis. #Bahn #Ansagen,negative,Zugfahrt#Pünktlichkeit:negative Atmosphäre#Temperatur:negative,-1
Oh! Was echt? Ist mir noch nie aufgefallen. Danke @warentest //@DB_Bahn https://t.co/uKsfsDyrXB,neutral,Allgemein#Haupt:neutral,1
"Re: FOCUS Online Video Sie haben Recht Frau Grundmann, Zivilisation erkennt man an den Männern!!! Hier mal ein Foto wier sich zivilisierte Männer(!) (HSV FANS) in öffentlichen Einrichtungen (Deutsche Bahn) benehmen. http://www.mopo.de/image/view/2013/1/11/21722448,17871126,highRes,dscf5830.JPG.jpg Mahlzeit!!",positive,Atmosphäre#Haupt:positive,1
"https://t.co/HWiPwPKnOI Werbung in der S-Bahn. ""Gott statt Schrott""",neutral,Allgemein#Haupt:neutral,1
"Sollte stolz sein, dass er viel Macht mit so wenig Unfähigkeit erreichte - Dt. Bahn, Flughafen Berlin https://t.co/8JweZ0bzBD",neutral,Allgemein#Haupt:neutral,1
"Zirkus Roncalli: Über Geld spricht man nicht Unsinn? Paul: Na klar. Ich liebe Unsinn! Ich will Zirkus so machen, wie er sein sollte – nicht so, wie er billig ist. Wir sind auch zum Beispiel der letzte Zirkus in Deutschland, der noch mit der Bahn von einer Stadt in die nächste",neutral,Allgemein#Haupt:neutral,-1
RT @FahrtFrei: S-Bahn-Chaos in München: Gleisstopfmaschine defekt - München - Süddeutsche.de https://t.co/Bt9jo8NZxH via @SZ,negative,Sonstige_Unregelmässigkeiten#Haupt:negative Allgemein#Haupt:negative,-1
"Bei der #Bahn gibt es immer wieder #Extremwetterlage. Sie heißen #Frühling, #Sommer, #Herbst, #Winter. #fb",neutral,Allgemein#Haupt:neutral,0
Lokführerstreik bei Deutscher Bahn wird beendet © APA (dpa) Die Deutsche Bahn soll wieder fahren Erleichterung für Millionen Bahnreisende in : Die Streiks der Lokführer bei der Deutschen Bahn werden beendet. Das die Deutsche Bahn und die Lokführer-Gewerkschaft GDL am Donnerstag mit. Die Deutsche,positive,Allgemein#Haupt:positive Allgemein#Haupt:positive,-1
Die Deutsche Bahn treibt den Ausbau des Badischen Bahnhofs voran. #DB #NEAT #Basel #barfi https://t.co/4QnnEup5PS https://t.co/ymiaCkMhqX,neutral,Allgemein#Haupt:neutral,1
haz.de Bahn schickt modernere Züge – und wird teurer Am Wochenende steht der traditionelle Fahrplanwechsel der Bahn an. Und da gibt es einige Neuerungen. Am Sonntag um Mitternacht steht der alljährliche Fahrplanwechsel im Fernverkehr der Deutschen Bahn sowie im öffentlichen Nahverkehr an – wie immer verbunden...,neutral,Design#Haupt:positive Ticketkauf#Haupt:negative,-1
"@DB_Bahn manchmal fragt man sich, warum es euch überhaupt noch gibt!!",negative,Allgemein#Haupt:negative,0
@MusicHistoryLaw Sie Träumer! ☺️ Wann ist denn schon mal auf @DB_Bahn Verlass?,neutral,Allgemein#Haupt:neutral,0
RT @morgenpost: Stadtautobahn: Bahn will Halenseebrücke schon am Freitag wieder freigeben. http://t.co/qK2e9Et2L0 http://t.co/0j0fPHIklq,neutral,Allgemein#Haupt:neutral,0
RT @tmsklein: Ich sollte den Grad der Empörung beim # Bahn- Pendeln in verbrauchter Akku-Leistung angeben: heute 42%. #Pendlerrant™,negative,Allgemein#Haupt:negative,-1
"Re: Günzburger Zeitung So, wir waren jetzt im Bahn-Reisezentrum am Günzburger Bahnhof. Die Auskunft: Die Züge fahren bis nach Donauwörth. Agilis habe eine falsche Auskunft im System hinterlegt, die heute auch nicht mehr geändert werden könne.",neutral,Allgemein#Haupt:neutral,-1
NOZ: Bahn-Chef Grube verspricht deutlich mehr Service durch Digitalisierung https://t.co/Ui3S0JHXXM,neutral,Allgemein#Haupt:neutral,0
@DB_Bahn Ich will keine Fahrplanauskunft. Ich will einfach nur meinen Zug zurück haben. ;-),neutral,Allgemein#Haupt:neutral,0
Überkreuz-Einsteiger sind immer wieder die besten S-Bahn Fahrgäste. Einfach lässig den anderen vor die Füße treten. #bahn #Alltag,negative,Atmosphäre#Haupt:negative,1
Re: WAZ Und wer bezahlt für die ganzen Verspätungen die die Bahn oder Bus hat an die Bürger?,negative,Zugfahrt#Pünktlichkeit:negative,0
@KuttnerSarah @DB_Bahn dann lass ihn aus Protest wenigstens AUF dem Sitz! :),neutral,Allgemein#Haupt:neutral,-1
"Singlebörse & Partnersuche Ehingen an der Donau | Dirki Lastminute, Sporturlaub, Kurzurlaub, Städtetrip, Kreuzfahrt, Wellnessurlaub Auto, Bahn, Fahrrad, Schiff, Wanderun",neutral,Allgemein#Haupt:neutral,0
"@DB_Bahn es klappt den gesamten Nachmittag bei keiner einzigen Bahn! Es ist peinlich, was ihr seit 2014 abliefert auf der S1! /cc @RMVdialog",negative,Sonstige_Unregelmässigkeiten#Haupt:negative,-1
"Bahn plant mehr Baustellen - Folgen sollen gemildert werden Berlin - Die Deutsche Bahn erhöht die Zahl ihrer Bauprojekte in diesem Jahr deutlich. Geplant sind nach Angaben des Unternehmens rund 850 Vorhaben, im vergangenen Jahr waren es 500. Mit einem besseren Baustellen-Management sollten aber die Auswirkun",neutral,Allgemein#Haupt:neutral,1
Böller und Feuerwerk im Zug mitnehmen? Nein darf man nicht ....nach dem Beförderungsrichtlinien der Bahn darf man sich nicht erwischen lassen :-) gutefrage.net-Tag: Feuerwerk gutefrage.net-Tag: Silvester gutefrage.net-Tag: Zug,neutral,Allgemein#Haupt:neutral,0
"businesstraveller.de Ende des Bahn-Streiks – Bahn und GDL einigen sich auf Schlichtung | Business Traveller GDL beendet #Bahnstreik, nächsten Mittwoch starten Schlichtungsgespräche: http://www.businesstraveller.de/news/ende-des-bahn-streiks/ Die Lokführer-Gewerkschaft GDL beendet ihren Streik, offiziell heute – Donnerstag, 21. Mai 2015 – um 19 Uhr. Die Bahn stellt derzeit ihren Betrieb wieder auf den normalen Fahrplan um. Seitens der DB heißt es, dass dies einige Zeit in Anspruch nehmen kann. Zunächst gelte weiterhin der Ersatzfahrplan.",positive,Allgemein#Haupt:positive Allgemein#Haupt:positive Allgemein#Haupt:positive,-1
"+1 ""+1 Frank-RE , Recklinghausen, Freitag, 04. September 2015, 13:56 (vor 1 Minuten) @ heinz11 Ich muss heute auch mal was dazu schreiben.... Mittlerweile finde ich Blaschis Anmerkungen teilweise nicht mehr Lustig und auch unpassend. Was er mir auf meiner verkorksten Stockholmfahrt unterstellt hat, war echt daneben. Ich bin im nächsten Monat im 9ten Jahr mit BC 100 dabei und ich kann mir sehr wohl ein Urteil darüber bilden was sich in diesen 9 Jahren alles zum negativen, aber auch positiven verändert hat. Wohlgemerkt.... ich kaufe mir die BC100 zum Spass... nicht weil ich sie Beruflich brauche. ... aber mir zu unterstellen ich hätte Schweden mit der Bahn nur gebucht um zu meckern ging dann doch arg am Thema vorbei. Schade eigentlich..... bisher fand ich Blaschis Anmerkungen immer sehr """"unterhaltsam""""... nicht mehr und auch nicht weniger.""",negative,Allgemein#Haupt:negative,-1
Re: all-in.de - das Allgäu online. also hat das niocht nur was mit mm zu tun für einen rollifahrer ist es völlig unmöglich mit der bahn zu fahren,negative,Barrierefreiheit#Haupt:negative,-1
"Schluss mit halben Sachen. – coffee and clay Heute habe ich wieder mit schlechtem Gewissen den eingeschweißten Brokkoli auf das Fließband gelegt. Gleichzeitig habe ich versucht mir einzureden, dass ich ja zumindest meine Birnen nicht in eine Plastiktüte eingepackt habe – ein schwacher Trost. Es passiert so leicht, dass man sich an seinen eigenen Prinzipien vorbei schleicht. Es ist schließlich unglaublich einfach. In der Stadt sind hunderte Menschen mit vollen Einkaufstüten unterwegs und im Supermarkt hat die Frau vor und die Frau hinter dir jedes ihrer Gemüsesorten in eine gesonderte Tüte verfrachtet. Und du gehörst irgendwie dazu. Vielleicht gibst du dir ein bisschen mehr Mühe. Hier mal Bio Bananen gekauft, dort mal auf einem Wochenmarkt gewesen oder an einem Wochenende die Bahn statt des Autos benutzt. Reicht das? Diese Frage muss sich natürlich jeder selbst stellen. Wenn ich mich selbst frage, meine vielen Prinzipien und Sichtweisen vor mir ausbreite, dann muss ich mit einem eindeutigen Nein antworten. Nein es reicht mir nicht und ich weiß ich könnte so viel mehr machen. Deswegen fange ich heute damit an. Und damit ich morgen nicht wieder mit eingeschweißtem Gemüse nach Hause komme, habe ich mir eine Liste mit meinen „Regeln“ angefertigt. 2. Kleidung im Second Hand laden kaufen 4. statt mit dem Auto zu fahren auf Bahn und Mitfahrgelegenheiten umsteigen, wenn Auto fahren versuchen Leute mitzunehmen Das ist meine persönliche Liste und werde ich nicht immer alles 100 Prozent umsetzen können. Manchmal muss ich einfach das Auto nehmen oder Gegenstände ersetzen. Aber ich werde trotzdem mein Bestes geben! Wenn ihr wollte könnt ihr mich auf dieser Reise begleiten. Ich werde mit euch ehrlich sein, hoffentlich sowohl Niederschläge als auch volle Erfolge mit euch teilen! Was für mich mit dem nachhaltigen, bewussten Leben auch irgendwie einhergeht ist der bewusste Konsum. Nur das besitzen was man wirklich zum Leben braucht und was einen mit Glück erfüllt. Was meint ihr wie viele Dinge ihr besitzt, wenn ihr sie alle mal zählen würdet? Ich würde mich definitiv verschätzen. ;) Meist merkt man erst bei einem Umzug was sich wieder so alles angesammelt hat. Neben meiner Liste werde ich also auch versuchen auszumisten und mich auf das Nötigste beschränken. Für heute soll es das aber gewesen sein. Gerade fühle ich mich irgendwie super gut, aber mir ist auch etwas mulmig zumute. Schließlich teile ich meine Gedanken mit euch, mit dem Internet und jetzt kann ich nicht einfach einen Rückzieher machen. Das ist wahrscheinlich auch gut so. Ich weiß auch,dass es viele Momente geben wird, in denen ich mich für meine Lebensweise rechtfertigen muss. Aber ich weiß,dass es das wert ist! In diesem Sinne euch eine wunderbare Nacht. :) eure Macky ps. Ich hoffe ihr seid alle gut ins neue Jahr gestartet :) ashley coates",neutral,Allgemein#Haupt:neutral,1
"Re: DB Bahn ""Ist das hier der Dialog-Kanal? Mal sehen.. Da ich kostenfrei heute wohl niemanden erreichen kann, versuche ich es hier: Vor 2 Monaten wurde mir eine Fahrpreisnacherhebung von 60€ auferlegt, da ich ein falsches Ticket gekauft hatte (für 5€ anstatt 6,20€). Auf Anraten des Schaffners habe ich mich damals sofort über db-fahrpreisnacherhebung.de gemeldet, um möglicherweise einen """"Preisnachlass"""" zu erhalten. In der daraufhin automatisch generierten Antwort-Mail stand, es werde mit mir Kontakt aufgenommen werden. Die einzige Nachricht, die ich seitdem in dieser Sache erhalten habe, ist nun ein Schreiben von einem Inkassounternehmen, in welchem mir mitgeteilt wird, dass ich bis nächste Woche 120€ zu überweisen habe. Eine kurze Nachricht von Seiten der Deutschen Bahn mit Inhalt """"Herr Braun, Ihr Gelaber ist uns egal, zahlen Sie die 60€!"""" wäre anscheinend zu viel verlangt gewesen?""",neutral,Allgemein#Haupt:neutral,-1
"RE: die Bahn ist ein Stiefkind der Politik, einsame Spitzenklasse Zitat von OskarVernon Man muss die Bahn überhaupt nicht nehmen - so einfach ist das. Jedenfalls im Fernverkehr: Da definiert die Bahn wie jedes Unternehmen über das Angebot ihre Zielgruppe - und damit eben auch, wer nicht dazugehören soll. Gerade im Fernverkehr ist die Bahn ideal. Sie dürfen sich gern mal die Burschen ansehen, die am Wochenende zweimal 500 km im Auto fahren, um an ihre Arbeitsstelle zu kommen. Die sehen zehn Jahre älter als sie sind. Das Dumme ist nur, daß die Bahn den Regionalverkehr schleifen läßt, zahlreiche Nebenstrecken hat sie bereits stillgelegt. Man kommt einfach nicht überall hin oder nur auf Umwegen, mit Bahncard 100 hat man natürlich überall ein Mietauto zur Verfügung. Ist aber auch teuer, wenn man inmitten der Walachei ein mehrtägiges Seminar abhalten muß. Dann wird das Taxi billiger. Aber beide zusammen sind sicher billiger als ein eigenes Auto. Das brauchen nur irgendwelche Hinterwäldler, die meinten, weitab von allen Zentren für billig Geld ein Haus kaufen zu können. Der Witz ist, daß die Bahn im Fernverkehr immer Gewinne macht, zum Einen weil sie es sich gut bezahlen läßt, auch von den Ermäßigten, die die Mehrheit bilden. Zum Anderen wegen der Vernunft der Nutzer. Im unentbehrlichen Nah- und Regionalverkehr läßt die Bahn die Kommunen latzen, obwohl sie gar nicht mehr flächendeckend arbeitet. Und macht dennoch keinen Gewinn, obwohl sie ihre Konkurrenten über die Streckenerlöse ausnimmt wie eine Weihnachtsgans. Die Bahn hat ein internes strukturelles Problem. Und die Politik hilft nicht, sondern fährt Strategien, die keineswegs förderlich sind. Sie müßte Betrieb und Schiene trennen, mehr nicht. Das ist gnadenlos banal. Bekommt sie aber nicht hin, auch der Erlöser von allem Übel Mehdorn nicht. Der hat eigentlich nur gehorcht und sonst nichts. Ein Würstchen.",neutral,Zugfahrt#Streckennetz:positive Zugfahrt#Streckennetz:negative Zugfahrt#Streckennetz:negative Zugfahrt#Streckennetz:negative Ticketkauf#Haupt:neutral Ticketkauf#Haupt:positive Zugfahrt#Streckennetz:negative,-1
Re: DB Bahn Hallo liebes bahn Team wieso hat der rb vom sömmerda der um 18:30 uhr kommen soll jeden tag Verspätung?,negative,Zugfahrt#Pünktlichkeit:negative,1
Aufm Weg nach Nürnberg mit der #Bahn - Waggon wieder eiskalt #frostbeule #klimaanlage läuft auf Hochtouren,negative,Atmosphäre#Temperatur:negative,0
"@SolgerdIsalv Haben Sie sich schon das letzte Update geladen? Welches iPhone, iOS- und DB Navigator-Version nutzen Sie? /ti",neutral,Allgemein#Haupt:neutral,0
"RT @septembermdchen: Wenn du so klein bist, dass du in der Bahn nicht mal mit den Füßen auf den Boden kommst.",neutral,Allgemein#Haupt:neutral,-1
Diplomatische Beziehungen: USA und Kuba wollen Botschaften wiedereröffnen Der Tarifkonflikt zwischen der Deutschen Bahn und der Gewerkschaft Deutscher Lokomotivführer ist nach einem Jahr offenbar beendet. Das erfuhr die Deutsche Presse-Agentur aus zuverlässiger Quelle. Beide Seiten haben demnach einen Tarifvertrag,positive,Allgemein#Haupt:positive,1
Bahnpläne im Fernverkehr: Privatbahnen warnen vor unfairem Wettbewerb Angesichts geplanter Änderungen im Fernverkehr der Deutschen Bahn (DB) warnen vier Privatbahnen vor einem Ende des Wettbewerbs auf der Schiene. Die DB,neutral,Allgemein#Haupt:neutral,-1
RT @uncre4tiv3: Stalke @kathyratajczyk und @HochhalterDiana in der Bahn... O_o @Suna_Fisch,neutral,Allgemein#Haupt:neutral,0
"@DB_Bahn wie kann das sein, dass Sue wissen, an welchem Platz in welchem Zug ein Gegenstand aktuell steht, den Sie dann trotzdem verlieren?!",neutral,Allgemein#Haupt:neutral,-1
@Maiimouna Welche Bahn?,neutral,Allgemein#Haupt:neutral,0
"S-Bahn sollte vor 2 Minuten hier sein. Anzeige ging auf 0,nur um dann wieder auf 6 Minuten zu springen. #verhungertambahnsteig",negative,Zugfahrt#Pünktlichkeit:negative Informationen#Haupt:negative,0
"Re: FOCUS Online Muß ich als DB mit ner schwarzen werben , oder sind die weißen Züge ?",neutral,Allgemein#Haupt:neutral,0
@domi_thu Bitte schauen Sie deswegen weiterhin in unsere Live Auskunft http://t.co/j1veETfrnQ. Regelverkehr morgen ist noch ungewiss. /da,negative,Zugfahrt#Streckennetz:negative,0
"BVG Berlin Monatskarte für Januar BVG Berlin Monatskarte für Januar Hallo, weil ich unerwartet mit meiner Freundin am 5.Januar für 3 Wochen aus…… 31.12.2015 um 23:39 Uhr 14195 Bahn & ÖPNV 30",neutral,Allgemein#Haupt:neutral,-1
Re: Meißen - kaufen - verkaufen - tauschen Christin Prietzel Ich möchte diese Bahn bitte Kaufen Danke,neutral,Allgemein#Haupt:neutral,1
RT @Wutbaron: Ich fahre Bahn. Teenager neben mir. Anscheinend spricht man gif so aus: jii-ei-äff. Wieder was gelernt.,neutral,Allgemein#Haupt:neutral,1
RT @Judith_Claassen: Ein Bild für die Götter: Junger Mann mit Dreadlocks bis zum Po blättert in Magazin Glamour. Hihi. #Bahn #Reisenbildet,neutral,Allgemein#Haupt:neutral,1
"""Bahn muss Vertrauen zurückgewinnen"" """"""Bahn muss Vertrauen zurückgewinnen"""" Firma: Verband Deutsches Reisemanagement e.V. 21.05.2015 07:18 - Frankfurt am Main, 21. Mai 2015: """"Wir begrüßen die Schlichtungsgespräche sehr. Alle Parteien sollten sich jetzt dafür einsetzen, dass sich Reisend""",neutral,Allgemein#Haupt:neutral,1
RT @krokodilgemuese: Ganz ernsthaft. Das ist nicht nur für einen „Kundenservice“ unterste Schublade und zutiefst ekelhaft. @DB_Bahn https:/…,negative,Service_und_Kundenbetreuung#Haupt:negative,1
"Hilfe ich wurde beim schwarz fahren erwischt im Zug ? Fahren ohne gültigen Fahrausweis kann jedem mal passieren . Da zahlt man im schlimmsten Fall den doppelten Fahrpreis , mindestens 60 , - und gut ist . Diese 60 € sind keine Strafe sondern das erhöhte Beförderungsentgeld . Das setzt sich zusammen aus der Nachlösung der Fahrkarte + Bearbeitungsgebühr . Nun kann aber auch eine Straftat in Frage kommen , Erschleichung von Leistungen oder Betrug , und dann ist eine Anzeige schon bei der ersten Tat gerechtfertigt . Für eine Straftat muss aber Vorsatz vorliegen , da das in den meisten Fällen nicht beweisbar ist verzichten die Verkehrsunternehmen beim ersten und vllt. noch zweitem Mal auf eine Anzeige . ( Arbeitsaufwand ) . Sollte aber bereits beim ersten Schwarzfahren Anzeichen für einen Vorsatz bestehen ( Verstecken , gefälschte Fahrkarte , Falschangaben ... ) so wird das VU oder die involvierte Polizei schon bei der ersten Tat Anzeige erstatten . Erst dann wird über eine Strafe verhandelt ! gutefrage.net-Tag : Bahn gutefrage.net-Tag : Zug",neutral,Allgemein#Haupt:neutral,-1
@Spongi_B Ich dachte #Bahn hätte sie verboten?!?!,neutral,Allgemein#Haupt:neutral,-1
"Bericht: Bahn und Telekom sehen Versäumnisse bei WLAN-Ausbau ""Mehr Schein als Sein: Die Bahn und die Deutsche Telekom haben jetzt Versäumnisse beim Ausbau der WLAN-Netze im ICE eingeräumt. Foto: Rainer Jensen/Archiv Foto: DPA """"Zu den Hauptverkehrszeiten können wir aktuell trotz vielfacher LTE-Anbindung der""",negative,Connectivity#WLAN_und_Internet:negative Connectivity#WLAN_und_Internet:negative,-1
Sicherheitsrisiken im Notrufsystem: Bei der Bahn gibt es 250 Funklöcher: Bei der Deutschen Bahn ist das Zugfun... https://t.co/aoLkPWdt7r,negative,Sicherheit#Haupt:negative Sicherheit#Haupt:negative Sicherheit#Haupt:negative,0
"Ich mag die Leute nicht, die in der Bahn laut ""OK, Google!"" rufen.",negative,Atmosphäre#Haupt:neutral Atmosphäre#Lautstärke:negative,1
"Re: SPIEGEL.TV Ich bin seit langem mal wieder Freitagsabends mit der Bahn gefahren,man fühlt sich einfach nicht mehr sicher.",negative,Sicherheit#Haupt:negative,1
"Re: Torsten Jabs Hallo lieber Leser, verdient dein PC oder Smartphone auch schon Geld ? Bei mir ist das der Fall und das bei ca. 10-20 min Aufwand am Tag. Du kannst es von überall schnell machen: Pause in der Arbeit, Bus, Bahn, Werbung in TV schnell mal die tägliche Arbeit machen 10 Klicks und schon bekommst du Geld dafür. Du kannst dir so schnell ein nettes Zusatzeinkommen aufbauen. Ich nutze es z.B. für meine kurzen Urlaube mit der Familie. Ich denke, das DU auch die Zeit hast, um sich ein nettes Zusatzeinkommen aufzubauen. So kann man sich seine Wünsche erfüllen, die man hat. Wenn Du auch gerne mehr Wissen willst, schreibe mir ein PN. Viele Grüße",neutral,Allgemein#Haupt:neutral,1
"Eine App als Lotse Gemeinsamt mit der Bayerischen Eisenbahngesellschaft hat DB Regio Bayern eine neue ... Eine App als Lotse Gemeinsamt mit der Bayerischen Eisenbahngesellschaft hat DB Regio Bayern eine neue Informations-App entwickelt . Der neue Streckenagent liefert Push-Meldungen direkt auf das Smartphone oder Tablet , sie informiert also in Echtzeit , wenn eine Störung auftritt und nennt Reisealternativen . Zudem umfasst die App auch Informationen über Fernverkehrszüge und fungiert damit als individueller Lotse für die ausgewählte Reiseverbindung . Anders als beim bisherigen Email-Newsletter abonniert der Kunde nicht mehr eine Strecke , sondern seine gewünschten Verbindungen . Diese Verbindungen kann er einmalig oder auch über einen längeren Zeitraum hinweg überwachen lassen . Im Störungsfall erhält der Fahrgast dann per Push-Meldung eine Benachrichtigung auf seinem Smartphone oder dem Tablet , die ihn über eine mögliche Verspätung , einen Zugausfall oder andere Einschränkungen , die seine Fahrt betreffen , informiert . Auch zeigt die Meldung an , welche alternativen Reisemöglichkeiten es gibt , ob zum Beispiel Busse als Ersatzverkehr eingesetzt werden und wo sich in diesem Fall die Ersatzhaltestellen befinden . Mit Daten gefüttert wird die App unter anderem von einem extra eingerichteten Team von Mitarbeitern . Die Streckenagent-App ist in den App-Stores von iTunes und Google Play erhältlich . www.bahn.de / streckenagent Foto : Archiv ﻿ -Photo : handyticketmann.jpg https://lh3.googleusercontent.com/-6QBqumn_rgM/VxdK98AXq5I/AAAAAAAACCE/kjg8QkMtngE_90RUoK880Bwq_061Jg6lw/w224-h168/handyticketmann.jpg",positive,DB_App_und_Website#Informationen_DB_App_und_Website:positive Informationen#Haupt:neutral,-1
@suomisisar wenn ich arbeiten bin darf ich den selben Spaß machen nur muss ich dann schon um 5 aufstehen um 6.22 die Bahn zu kriegen...,neutral,Allgemein#Haupt:neutral,1
"Re: DB Bahn ""Hallo Paul-Richard, DB Handy-Tickets werden von unserem Zugpersonal nur über die DB Navigator App anerkannt. Für die Betriebssysteme, wo der DB Navigator nicht in vollem Umfang zur Verfügung steht, kann das auf bahn.de gebuchte Online-Ticket als PDF auf dem Smartphone angezeigt werden. Dies ist eine Alternative, die seit über einem Jahr auch in den Beförderungsbedingungen genannt und angeboten wird. Von der Nutzung der """"Bahnticket""""-App rate ich ab, da nicht eindeutig klar ist, wie auf bahn.de und folglich auf Kundendaten von bahn.de zugegriffen wird. Ich werde dies auch an unsere Kollegen der App-Entwicklung weitergeben, da hier die Sicherheit eine große Rolle spielt! Die Kollegen aus der App-Entwicklung prüfen die Einbindung von Handy-Tickets in der DB Navigator App auf Windows Phone oder auf anderen Plattformen auszuweiten. Wann dies geschieht, bleibt offen. /ch""",neutral,Allgemein#Haupt:neutral,1
Bahn-Chef Grube verspricht mehr Service durch Digitalisierung https://t.co/NvBNlZYkQ5,neutral,Allgemein#Haupt:neutral,0
Auf gehts nun mit der Bahn zur #Gamecom2015 #gamescom,neutral,Allgemein#Haupt:neutral,0
"@SBahnBerlin Zitat S-Bahn-Fahrer zum Entwerter auf dem Bf. Wilhelmsruh: ""Der hat noch nie funktioniert.""",negative,Ticketkauf#Haupt:negative,-1
"""heute Wagen 6, 16 -5"" #mathe bei der #bahn #confused",neutral,Allgemein#Haupt:neutral,0
@DerHerrGast @DB_Bahn @RMVdialog kann das nur bestätigen. bin seit 2 wochen auch wieder nur am kotzen! fürchte das ändert sich nie.,negative,Allgemein#Haupt:negative,-1
DB Regio 442 788 + 442 784 als Umleitung über Maintal nach Frankfurt auf der KBS 640 Am 08.04.16 filmte ich eine Hamsterbacke bei Hanau die wegen Bauarbeiten bis zum 10.04.16 über Maintal Fahren da die Strecke Frankfurt-Bad Vilbel-Friedberg bebaut wird,neutral,Allgemein#Haupt:neutral,0
Re: DB Bahn hattest du 3 minuten geschrieben? die zahl dahinter war ne 0,neutral,Allgemein#Haupt:neutral,0
Morgens in der S- Bahn: Ein Betrunkener schläft seinen Rausch aus und schnarcht nicht gerade leise. #GutenMorgen,negative,Atmosphäre#Haupt:negative Atmosphäre#Lautstärke:negative,0
